name,price,unit,imageUrl,product_type
"Teekanne Spanische Orange 50g, 20 Beutel","2,29 €","50g (1 kg = 45,80 €)",https://img.rewe-static.de/1298924/21170466_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Kamille 37,5g, 25 Beutel","2,35 €","37,50g (1 kg = 62,67 €)",https://img.rewe-static.de/6818137/6726990_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Sanfte Kamille 30g, 20 Beutel",,"30g (1 kg = 49,67 €)",https://img.rewe-static.de/3652009/2278210_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Vollmundige Hagebutte 70g, 20 Beutel",,"70g (1 kg = 21,29 €)",https://img.rewe-static.de/3651053/677480_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Sanfter Kamille-Fenchel 40g, 20 Beutel",,"40g (1 kg = 37,25 €)",https://img.rewe-static.de/0973191/22140190_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Früchte-Mischung 75g, 25 Beutel","2,35 €","75g (1 kg = 31,33 €)",https://img.rewe-static.de/6818218/3037690_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Fruchtige Waldbeere 50g, 20 Beutel",,"50g (1 kg = 29,80 €)",https://img.rewe-static.de/0809672/9630490_digital-image.png?imwidth=304&impolicy=kues,tee
"REWE Bio Kräutertee 35g, 20 Beutel","0,95 €","35g (1 kg = 27,14 €)",https://img.rewe-static.de/8109111/29749173_digital-image.png?imwidth=304&impolicy=kues,tee
Yogi Tea Bio Rote Beeren Vanille 17 Teebeutel 34g,"2,75 €","34g (1 kg = 80,88 €)",https://img.rewe-static.de/9108337/46199929_digital-image.png?imwidth=304&impolicy=kues,tee
Teekanne Heiße Liebe 60g,"2,29 €","45g (1 kg = 50,89 €)",https://img.rewe-static.de/9030580/40986627_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Früchtetee Sweet Kiss 60g, 20 Beutel","2,29 €","45g (1 kg = 50,89 €)",https://img.rewe-static.de/8948328/41021964_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Minze 45g, 20 Beutel",,"45g (1 kg = 33,11 €)",https://img.rewe-static.de/3481190/6752540_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Marokkanische Minze 36g, 20 Beutel","2,29 €","36g (1 kg = 63,61 €)",https://img.rewe-static.de/0186859/2200600_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Karibische Mango 45g, 20 Beutel","2,29 €","45g (1 kg = 50,89 €)",https://img.rewe-static.de/8622163/33508529_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Ostfriesen Teefix 75g, 50 Beutel","3,29 €","75g (1 kg = 43,87 €)",https://img.rewe-static.de/5619777/7477280_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Wohltuender Salbei 30g, 20 Beutel",,"30g (1 kg = 49,67 €)",https://img.rewe-static.de/0401700/9525500_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Rooibos Sahne-Karamell 35g, 20 Beutel","2,19 €","35g (1 kg = 62,57 €)",https://img.rewe-static.de/2454367/23878991_digital-image.png?imwidth=304&impolicy=kues,tee
